Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
chemistryReport,object,Document stating results achieved or providing evidence of activities performed during chemical exploitation,,ChemistryReport,ReportType,A report of results achieved or evidence of activities performed during chemical exploitation.,Initial refinement completed. Pending Tiger Team review.,
reportInformation,object,Information about a report,chemistryReport,,,,Needs to be refined by Tiger Team.,
classification,string,"The determination that official information requires, in the interests of national security, a specific degree of protection against unauthorized disclosure, coupled with a designation signifying that such a determination has been made.","reportInformation, findings, image, document",mo:SecurityClassificationText,nc : TextType,An information security classification level.,Mapped to existing NIEMOpen attribute.,
reportStartDate,string,A date on which something begins.,reportInformation,nc:StartDate,nc : DateType,A date on which something begins.,Mapped to existing NIEMOpen attribute.,
approvedDate,string,A date of the approval.,reportInformation,ReportApprovedDate,nc : DateType,A date on which a report was approved.,Mapped to existing NIEMOpen attribute.,
accreditation,boolean,Value indicating whether or not the report is accredited,reportInformation,ReportAccreditedIndicator,niem-xs:Boolean,True if the report is accredited; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
incidentType,string,A single or delimited list of incident types  to restrict the results to. Items may be provided as either an identifier (GUID) or string (Label),reportInformation, j:IncidentGeneralCategoryText,nc : TextType,A general kind of an incident that occurred.,Mapped to existing NIEMOpen attribute.,
reportExaminer,string,A single or delimited list of Discipline Report Examiners to restrict the results,reportInformation,,,,Needs to be refined by Tiger Team.,
adminReviewer,string,Name and information related to the reviewer evaluating the report and supporting documentation for consistency with laboratory policies and editorial correctness,reportInformation,AdminReviewerDocumentAssociation,nc:PersonDocumentAssociationType,An association between a report and its reviewer.,Initial refinement completed. Pending Tiger Team review.,
lastEditBy,object,Information related to the last edit of the report,reportInformation,,,,Needs to be refined by Tiger Team.,
modifiedBy,string,"A user, who modified a data file.",lastEditBy,ReportModifiedBy,niem-xs : string,"A user, who modified a report.",Mapped to existing NIEMOpen attribute.,
lastEditTime,string,A date information was last modified.,lastEditBy,nc:LastUpdatedDate,nc : DateType,A date information was last modified.,Mapped to existing NIEMOpen attribute.,
findings,object,Results of analysis of items or of the scene,chemistryReport,AnalysisFindings,FindingsType,Results of the analysis of items or of a scene.,Initial refinement completed. Pending Tiger Team review.,
findingsText,string,Description of findings,findings,AnalysisFindingsText,nc : TextType,A description of findings from the analysis of items or of a scene.,Initial refinement completed. Pending Tiger Team review.,
exhibits,array,Items or samples recovered as part of an investigation,chemistryReport,j:Exhibit,j : ExhibitType,An item introduced as evidence in a hearing or a trial.,Mapped to existing NIEMOpen attribute.,
exhibitNumber,integer,An identification number of an exhibit,"exhibits, samples",j:ExhibitIdentification,nc : IdentificationType,An identification number of an exhibit,Mapped to existing NIEMOpen attribute.,
exhibitQuantity,integer,A number of individual items that represent a piece of evidence. ,exhibits,j:EvidenceQuantityText,nc : TextType,A number of individual items that represent a piece of evidence. ,Mapped to existing NIEMOpen attribute.,
quantity,integer,A count of the individual units which make up an item.,exhibits,nc:ItemQuantity,nc : QuantityType,A count of the individual units which make up an item.,Mapped to existing NIEMOpen attribute.,
description,string,A description of the information,exhibits,nc:DescriptionText,nc : TextType,A description of the information,Mapped to existing NIEMOpen attribute.,
documentNumber,string,identifier for a document associated with an exhibit,exhibits,DocumentNumber,nc : IdentificationType,An identifier for a document associated with an exhibit.,Initial refinement completed. Pending Tiger Team review.,
itemNumber,integer,An identification assigned to an item.,exhibits,nc:ItemOtherIdentification,nc : IdentificationType,An identification assigned to an item.,Mapped to existing NIEMOpen attribute.,
notes,string,"Notes are original observations, derived data, calculations and test reports recorded at the time they are made and are identifiable to the specific task. They must contain sufficient information to establish an audit trail and to support conclusions such that in the absence of the examiner, another competent examiner or supervisor could evaluate what was done and interpret the data.",exhibits,,,,Needs to be refined by Tiger Team.,
disposition,string,A description of a disposition.,exhibits,nc:DispositionDescriptionText,nc : TextType,A description of a disposition.,Mapped to existing NIEMOpen attribute.,
exploitedBy,string,"Forensic discipline used to take full advantage of any information that has come to hand for tactical, operational, or strategic purposes.",exhibits,ForensicExploitationMethodText,nc : TextType,"A description of forensic methods used used to take full advantage of any information that has come to hand for tactical, operational, or strategic purposes.",Initial refinement completed. Pending Tiger Team review.,
HasChildren,boolean,Indicator of whether an exhibit has child elements associated with it,exhibits,SupportingExhibitIndicator,niem-xs : Boolean,"True if an exhibit has sub-exhibits associated with it, false otherwise.",Initial refinement completed. Pending Tiger Team review.,
hasSamples,boolean,Indicator of whether an exhibit has samples associated with it,exhibits ,SamplesIndicator,niem-xs : Boolean,"True if an exhibit has samples associated with it, false otherwise.",Initial refinement completed. Pending Tiger Team review.,
evidenceType,string,A piece of evidence.,exhibits,j:EvidenceItemText,nc : TextType,A piece of evidence.,Mapped to existing NIEMOpen attribute.,
samples,array,A portion of the whole material to be tested,"chemistryReport, proposedSequence",j:TestCollectionSampleCategoryText,nc : TextType,A kind of biologic material taken as a collection sample.,Mapped to existing NIEMOpen attribute.,
sampleNumber,integer,An identifier assigned to the sample taken for testing.,samples,j:TestCollectionSampleID,niem-xs : string,An identifier assigned to the sample taken for testing.,Mapped to existing NIEMOpen attribute.,
amount,string,A textual description of a measurement value.,samples,nc:MeasureValueText,nc : TextType,A textual description of a measurement value.,Mapped to existing NIEMOpen attribute.,
chemicals,object,A substance used in or produced by a chemical process.,samples,nc:Chemical,nc : SubstanceType,A substance used in or produced by a chemical process.,Mapped to existing NIEMOpen attribute.,
identificationStatus,string,A status of an identification.,chemicals,nc:IdentificationStatus,nc : StatusType,A status of an identification.,Mapped to existing NIEMOpen attribute.,
chemicalName,string,A kind of substance.,chemicals,nc:SubstanceCategoryText,nc : TextType,A kind of substance.,Mapped to existing NIEMOpen attribute.,
media,array,Objects on which data can be stored,"chemistryReport, exhibits, samples",,,,Needs to be refined by Tiger Team.,
image,object,"Imitation or representation of a person or thing, drawn, painted, photographed, and so forth.",media,nc:Image,nc : ImageType,A picture or visual representation of something.,Mapped to existing NIEMOpen attribute.,
uploadFileName,string,"In computer forensics, an identifier used to uniquely identify a file object that has been uploaded within a directory object in a filesystem.","image, document",UploadFileName,nc : TextType,A name of an uploaded file.,Mapped to existing NIEMOpen attribute.,
base64,string,A text that is a binary base-64 string that represents an Image.,image,nc:Base64BinaryObject,niem-xs:base64Binary,A base64 binary encoding of data.,Mapped to existing NIEMOpen attribute.,
fileSizeBytes,integer,"Size of the media file, represented in Bytes","image, document",FileSizeBytesValue,niem-xs:nonNegativeInteger,"Size of a file, represented in bytes.",Mapped to existing NIEMOpen attribute.,
document,object,Information and its supporting medium.,media,nc:Document,nc : DocumentType,A paper or electronic document.,Mapped to existing NIEMOpen attribute.,
loc,object,"An object containing `lat` and `lon` coordinates, which will return documents with an incident in a specified radius",media,nc:Location ,nc : LocationType,A geospatial location.,Mapped to existing NIEMOpen attribute.,
deviceName,string,Name of a device,,DeviceNameText,nc : TextType,A name of a device.,Initial refinement completed. Pending Tiger Team review.,
presumptiveTesting,string,"Information related to presumptive testing performed. A presumptive test is a test which does not provide definitive identification; rather, it provides information useful for directing further analysis. Sometimes referred to as ‘color tests’. ",,PresumptiveTestingDetails,nc : TextType,"Information related to testing which does not provide definitive identification, but provides information useful for directing further analysis. ",Initial refinement completed. Pending Tiger Team review.,
confirmatoryTesting,string,Information related to confirmatory testing performed. A confirmatory test is a test which confirms that the material or substance tested for is actually present,,ConfirmatoryTestingDetails,nc:TextType,Information related to testing performed to confirm that the material or substance tested for is actually present.,Initial refinement completed. Pending Tiger Team review.,
otherTesting,string,Information related to any other testing performed,,,,,Needs to be refined by Tiger Team.,
questionedSample,string,material collected as or from items of evidence which have a known location but an unknown originating source,,QuestionedSampleText,nc : TextType,A material collected as or from items of evidence which have a known location but an unknown originating source.,Initial refinement completed. Pending Tiger Team review.,
knownSample,string,A sample of established origin associated with the matter under investigation; Intentionally collected for comparison to a questioned sample,,KnownSampleText,nc : TextType,A sample of established origin associated with the matter under investigation; Intentionally collected for comparison to a questioned sample,Initial refinement completed. Pending Tiger Team review.,
CemUID,string,Collected Exploitable Material Unique Identifier,exhibits,CemUID,niem-xs: string,A unique identifier for a piece of collected exploitable material (CEM).,Initial refinement completed. Pending Tiger Team review.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
