Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Eqivalent/Refined Attribute Name,NIEM Eqivalent/Refined Attribute Type,NIEM Eqivalent/Refined Attribute Definition,Status,Comments
domexReport,object,Document stating results achieved or providing evidence of activities performed during Document and Media Exploitation,caseNumber,DOMEXReport,ReportType,A document stating results achieved or providing evidence of activities performed during Document and Media Exploitation (DOMEX).,Initial refinement completed. Pending Tiger Team review.,
reportInformation,object,Information about a report,domexReport,,,,Needs to be refined by Tiger Team.,
classification,string,"The determination that official information requires, in the interests of national security, a specific degree of protection against unauthorized disclosure, coupled with a designation signifying that such a determination has been made.","reportInformation, media, findings, devices, components, wtiComments, collection, collectionResponse",mo:SecurityClassificationText,nc : TextType,An information security classification level.,Mapped to existing NIEMOpen attribute.,
reportStartDate,string,A date on which something begins.,reportInformation,nc:StartDate,nc : DateType,A date on which something begins.,Mapped to existing NIEMOpen attribute.,
approvedDate,string,A date of the approval.,reportInformation,ReportApprovedDate,nc : DateType,A date on which a report was approved.,Initial refinement completed. Pending Tiger Team review.,
incidentType,string,A single or delimited list of incident types to restrict the results to. Items may be provided as either an identifier (GUID) or string (Label),reportInformation,j:IncidentGeneralCategoryText ,nc : TextType,A general kind of an incident that occurred.,Mapped to existing NIEMOpen attribute.,
reportExaminer,string,A single or delimited list of Discipline Report Examiners to restrict the results,reportInformation,,,,Needs to be refined by Tiger Team.,
adminReviewer,string,Name and information related to the reviewer evaluating the report and supporting documentation for consistency with laboratory policies and editorial correctness,reportInformation,AdminReviewerDocumentAssociation,nc:PersonDocumentAssociationType,An association between a report and its reviewer.,Initial refinement completed. Pending Tiger Team review.,
lastEditBy,object,Information related to the last edit of the report,reportInformation,,,,Needs to be refined by Tiger Team.,
modifiedBy,string,"A user, who modified a data file.",lastEditBy,ReportModifiedBy,niem-xs : string,"A user, who modified a report.",Initial refinement completed. Pending Tiger Team review.,
lastEditTime,string,A date information was last modified.,lastEditBy,nc:LastUpdatedDate,nc : DateType,A date information was last modified.,Mapped to existing NIEMOpen attribute.,
media,array,Objects on which data can be stored,"exhibits, reports, devices, primaryDeviceUserInformation",,,,Needs to be refined by Tiger Team.,
image,object,"Imitation or representation of a person or thing, drawn, painted, photographed, and so forth.","media, collection",nc:Image,nc : ImageType,A picture or visual representation of something.,Mapped to existing NIEMOpen attribute.,
fileFormat,string,"In computer forensics, a standard structure by which data is organized in a file for a specific purpose","images, audio, databases, text, unrecognizedFiles",nc:DocumentFormatText,nc : TextType,"A file format, content type (e.g., a MIME type), or physical format of a document.",Mapped to existing NIEMOpen attribute.,
fileAttributes,string,Properties associated with the file that is kept with the file directory listing.,"audio, databases, text, unrecognizedFiles",FileAttributeText,nc : TextType,A property associated with a file that is kept with the file directory listing.,Initial refinement completed. Pending Tiger Team review.,
uploadFileName,string,"In computer forensics, an identifier used to uniquely identify a file object that has been uploaded within a directory object in a filesystem.","image, document, collection",UploadFileName,nc : TextType,A name of an uploaded file.,Initial refinement completed. Pending Tiger Team review.,
base64,string,A text that is a binary base-64 string that represents an Image.,image,nc:Base64BinaryObject,niem-xs:base64Binary,A base64 binary encoding of data.,Mapped to existing NIEMOpen attribute.,
document,object,Information and its supporting medium.,media,nc:Document,nc : DocumentType,A paper or electronic document.,Mapped to existing NIEMOpen attribute.,
loc,object,"An object containing `lat` and `lon` coordinates, which will return documents with an incident in a specified radius","media, chats",nc:Location ,nc : LocationType,A geospatial location.,Mapped to existing NIEMOpen attribute.,
fileSizeBytes,integer,"Size of the media file, represented in Bytes","image, document, collection, taggedFiles, applications, archives, audio, configurations, databases, downloads, images, text, videos, unrecognizedFiles",FileSizeBytesValue,niem-xs:nonNegativeInteger,"Size of a file, represented in bytes.",Initial refinement completed. Pending Tiger Team review.,
exhibits,array,Items or samples recovered as part of an investigation,"electronicsReport, deviceInfo, componentInfo",j:Exhibit,j : ExhibitType,An item introduced as evidence in a hearing or a trial.,Mapped to existing NIEMOpen attribute.,
exhibitNumber,integer,An identification number of an exhibit,exhibits,j:ExhibitIdentification,nc : IdentificationType,An identification number of an exhibit,Mapped to existing NIEMOpen attribute.,
exhibitQuantity,integer,A number of individual items that represent a piece of evidence. ,exhibits,j:EvidenceQuantityText,nc : TextType,A number of individual items that represent a piece of evidence. ,Mapped to existing NIEMOpen attribute.,
description,string,A description of the information,"exhibits, deviceInfo, componentInfo, dataSourceUsage",nc:DescriptionText,nc : TextType,A description of the information,Mapped to existing NIEMOpen attribute.,
