Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
firearmsReport,object,Document stating results achieved or providing evidence of activities performed during Firearms and Toolmarks exploitation,,FirearmsAndToolmarksReport,ReportType,A report of results achieved or evidence of activities performed during Firearms and Toolmarks exploitation.,Initial refinement completed. Pending Tiger Team review.,
reportInformation,object,Information about a report,firearmsReport,,,,Needs to be refined by Tiger Team.,
classification,string,"The determination that official information requires, in the interests of national security, a specific degree of protection against unauthorized disclosure, coupled with a designation signifying that such a determination has been made.","reportInformation, findings, image, document",mo:SecurityClassificationText,nc : TextType,An information security classification level.,Mapped to existing NIEMOpen attribute.,
reportStartDate,string,A date on which something begins.,reportInformation,nc:StartDate,nc : DateType,A date on which something begins.,Mapped to existing NIEMOpen attribute.,
approvedDate,string,A date of the approval.,reportInformation,ReportApprovedDate,nc : DateType,A date on which a report was approved.,Initial refinement completed. Pending Tiger Team review.,JS: This concept is not specific to the mo domain. A NIEM core or Forensics element would be better. 
accreditation,boolean,Value indicating whether or not the report is accredited,reportInformation,ReportAccreditedIndicator,niem-xs:Boolean,True if the report is accredited; false otherwise.,Initial refinement completed. Pending Tiger Team review.,
incidentType,string,A single or delimited list of incident types to restrict the results to. Items may be provided as either an identifier (GUID) or string (Label),reportInformation,j:IncidentGeneralCategoryText ,nc : TextType,A general kind of an incident that occurred.,Mapped to existing NIEMOpen attribute.,
reportExaminer,string,A single or delimited list of Discipline Report Examiners to restrict the results,reportInformation,,,,Needs to be refined by Tiger Team.,
adminReviewer,string,Name and information related to the reviewer evaluating the report and supporting documentation for consistency with laboratory policies and editorial correctness,reportInformation,AdminReviewerDocumentAssociation,nc:PersonDocumentAssociationType,An association between a report and its reviewer.,Initial refinement completed. Pending Tiger Team review.,
lastEditBy,object,Information related to the last edit of the report,reportInformation,,,,Needs to be refined by Tiger Team.,
modifiedBy,string,"A user, who modified a data file.",lastEditBy,ReportModifiedBy,niem-xs : string,"A user, who modified a report.",Initial refinement completed. Pending Tiger Team review.,JS: This concept is not specific to the cbrn domain. A NIEM core or Forensics element would be better. 
lastEditTime,string,A date information was last modified.,lastEditBy,nc:LastUpdatedDate,nc : DateType,A date information was last modified.,Mapped to existing NIEMOpen attribute.,
media,array,Objects on which data can be stored,"firearmsReport, exhibits",,,,Needs to be refined by Tiger Team.,
image,object,"Imitation or representation of a person or thing, drawn, painted, photographed, and so forth.",media,nc:Image,nc : ImageType,A picture or visual representation of something.,Mapped to existing NIEMOpen attribute.,
uploadFileName,string,"In computer forensics, an identifier used to uniquely identify a file object that has been uploaded within a directory object in a filesystem.","image, document",UploadFileName,nc : TextType,A name of an uploaded file.,Initial refinement completed. Pending Tiger Team review.,"JS: I would suggest not adding a lot of ""onesie-twosie"" external domain elements. These are more likely to change outside of our control, and adding more domains makes the IEPD schema package more complicated for little benefit. Things like ""data file name"" are not specific to the cbrn domain, for example. A NIEM core or Forensics element would be better. If it was something that falls squarely in cbrn domain (like a nuclear energy source) then I would agree we should reuse it."
base64,string,A text that is a binary base-64 string that represents an Image.,image,nc:Base64BinaryObject,niem-xs:base64Binary,A base64 binary encoding of data.,Mapped to existing NIEMOpen attribute.,JS: I think that using a base64 type element would prevent a lot of mishaps
document,object,Information and its supporting medium.,media,nc:Document,nc : DocumentType,A paper or electronic document.,Mapped to existing NIEMOpen attribute.,
loc,object,"An object containing `lat` and `lon` coordinates, which will return documents with an incident in a specified radius",media,nc:Location ,nc : LocationType,A geospatial location.,Mapped to existing NIEMOpen attribute.,
fileSizeBytes,integer,"Size of the media file, represented in Bytes","image, document",FileSizeBytesValue,niem-xs:nonNegativeInteger,"Size of a file, represented in bytes.",Initial refinement completed. Pending Tiger Team review.,JS: This concept is not specific to the cbrn domain. A NIEM core or Forensics element would be better. 
exhibits,array,Items or samples recovered as part of an investigation,reports,j:Exhibit,j : ExhibitType,An item introduced as evidence in a hearing or a trial.,Mapped to existing NIEMOpen attribute.,
exhibitNumber,integer,An identification number of an exhibit,exhibits,j:ExhibitIdentification,nc : IdentificationType,An identification number of an exhibit,Mapped to existing NIEMOpen attribute.,
exhibitQuantity,integer,A number of individual items that represent a piece of evidence. ,exhibits,j:EvidenceQuantityText,nc : TextType,A number of individual items that represent a piece of evidence. ,Mapped to existing NIEMOpen attribute.,
quantity,integer,A count of the individual units which make up an item.,exhibits,nc:ItemQuantity,nc : QuantityType,A count of the individual units which make up an item.,Mapped to existing NIEMOpen attribute.,
description,string,A description of the information,exhibits,nc:DescriptionText,nc : TextType,A description of the information.,Mapped to existing NIEMOpen attribute.,
documentNumber,string,identifier for a document associated with an exhibit,exhibits,DocumentNumber,nc : IdentificationType,An identifier for a document associated with an exhibit.,Initial refinement completed. Pending Tiger Team review.,
itemNumber,integer,An identification assigned to an item.,exhibits,nc:ItemOtherIdentification,nc : IdentificationType,An identification assigned to an item.,Mapped to existing NIEMOpen attribute.,
notes,string,"Notes are original observations, derived data, calculations and test reports recorded at the time they are made and are identifiable to the specific task. They must contain sufficient information to establish an audit trail and to support conclusions such that in the absence of the examiner, another competent examiner or supervisor could evaluate what was done and interpret the data.",exhibits,,,,Needs to be refined by Tiger Team.,
disposition,string,A description of a disposition.,exhibits,nc:DispositionDescriptionText,nc : TextType,A description of a disposition.,Mapped to existing NIEMOpen attribute.,
HasChildren,boolean,Indicator of whether an exhibit has child elements associated with it,exhibits,SupportingExhibitIndicator,niem-xs : Boolean,"True if an exhibit has sub-exhibits associated with it, false otherwise.",Initial refinement completed. Pending Tiger Team review.,
findings,object,Results of analysis of items or of the scene,,AnalysisFindings,FindingsType,Results of the analysis of items or of a scene.,Initial refinement completed. Pending Tiger Team review.,
findingsText,string,Description of findings,findings,AnalysisFindingsText,nc : TextType,A description of findings from the analysis of items or of a scene.,Initial refinement completed. Pending Tiger Team review.,
characteristicParticles,string,Particles that have compositions rarely found in particles originating from any other source than the discharge of a firearm,,GunshotResidueCharacteristicParticlesText,nc:TextType,Description of any particles found that have compositions rarely found in particles originating from any other source than the discharge of a firearm.,Initial refinement completed. Pending Tiger Team review.,
consistentParticles,string,Particles that have compositions that are found in GSR and also arise from other non-firearm sources,,ConsistentParticleCompositionDetails,nc:TextType,Details related to particles that have compositions that are found in gunshot residue (GSR) and also arise from other non-firearm sources.,Initial refinement completed. Pending Tiger Team review.,
commonlyAssociatedParticles,string,"Particles having compositions that are also commonly found in environmental particles from numerous sources. When present in addition to particles that are characteristic of and/or consistent with GSR, these particles can be of significance in the interpretation of a population of particles.",,CommonlyAssociatedParticlesDescriptionText,xs:string,"A description of particles having compositions that are also commonly found in environmental particles from numerous sources. When present in addition to particles that are characteristic of, or consistent with, GSR, or both, these particles can be of use in the interpretation of a population of particles and, consequently, the likelihood that that population is GSR. ",Initial refinement completed. Pending Tiger Team review.,
candidateParticles,string,Particle(s) classified by the instrument software based on detection of appropriate constituent elements as potential pGSR.,,CandidateParticlesDescription,nc:Texttype,"Particle(s) classified by instrument software as potential primer gunshot residue (pGSR), based on detection of appropriate constituent elements.",Initial refinement completed. Pending Tiger Team review.,
confirmedParticles,string,"Particle(s) relocated, analyzed, and classified by the analyst as pGSR based on appropriate constituent elements and morphology.",,ConfirmedParticlesDetails,nc:TextType,"Particle(s) relocated, analyzed, and classified by an analyst as primer gunshot residue (pGSR) based on appropriate constituent elements and morphology.",Initial refinement completed. Pending Tiger Team review.,
morphology,string,"Size, shape, structure, and texture of individual particles of interest",,MorphologyDescriptionText,nc : TextType,"A description of the size, shape, structure, and texture of individual particles of interest.",Initial refinement completed. Pending Tiger Team review.,
referenceMaterial,string,"Material, sufficiently homogeneous and stable with respect to one or more specific properties, which has been established to be fit for its intended use in a measurement process",,,,,Needs to be refined by Tiger Team.,
firearmsIdentification,object,"A discipline of forensic science which has as its primary concern to determine if a bullet, cartridge
case, or other ammunition component was fired by a particular firearm.",,,,,Needs to be refined by Tiger Team.,
accuracy,string,"In firearms using single projectiles at a given distance, accuracy is the measure of how close the
fired shots are to the intended target.",firearmsIdentification,TargetAccuracyMeasure,niem-xs:string,A measure of how accurate fired shots are to a target.,Initial refinement completed. Pending Tiger Team review.,
accuracyLife,string,"An estimated, or empirically determined number of rounds that can be fired in a particular gun of a
particular caliber, before it fails to meet a particular accuracy specification. Wide variations may occur due to caliber, ammunition characteristics, firing schedules, maintenance, and firearm design.",firearmsIdentification,FirearmAccuracySpecification,niem-xs:string,"An estimated, or empirically determined number of rounds that can be fired in a particular gun of a particular caliber, before it fails to meet a particular accuracy specification.",Initial refinement completed. Pending Tiger Team review.,
actionCategory,string,"The working mechanism of a firearm. The combination of the receiver or frame, the breech bolt, and the other parts of the mechanism by which a firearm is loaded, fired, and unloaded.",firearmsIdentification,FirearmActionCategoryCode,FirearmActionCategoryCodeType,A category of working mechanism of a firearm.,Initial refinement completed. Pending Tiger Team review.,
firearmCategory,string,Make and manufacturer of an assembly of a barrel and action from which a projectile(s) is propelled by products of combustion.,firearmsIdentification,j:FirearmCategoryText,nc : TextType,A kind of firearm.,Mapped to existing NIEMOpen attribute.,
ammunition,object,"One or more loaded cartridges consisting of a primed cartridge case, propellant, and with or without one or more projectiles.",firearmsIdentification,Ammunition,AmmunitionType,"One or more loaded cartridges consisting of a primed cartridge case, propellant, and with or without one or more projectiles.",Initial refinement completed. Pending Tiger Team review.,
ammunitionCategory,string,"A kind of explosives, chemicals, pyrotechnics, and similar stores, e.g., bombs, guns and ammunition, flares, smoke, or napalm.",ammunition,mo:OrdnanceCategoryText,niem-xs : string,"A kind of explosives, chemicals, pyrotechnics, and similar stores, e.g., bombs, guns and ammunition, flares, smoke, or napalm.",Mapped to existing NIEMOpen attribute.,
ammunitionCodeNumber,string,"A code number and/or letter(s) usually found on the carton that identifies a particular quantity of
ammunition for its manufacturer.",ammunition,usmtf:AmmunitionBatchNumberID,usmtf:BatchNumberType,A unique identifier for the manufacturing source of the ammunition.,Mapped to existing NIEMOpen attribute.,
ammunitionColorCode,string,"A method of distinguishing the various gauges of shotshells and types of metallic ammunition by
color or plating.",ammunition,AmmunitionIDMethodColorCode,AmmunitionIDMethodColorCodeType,A color or plating used to distinguish a gauge of shotshell or type of metallic ammunition.,Initial refinement completed. Pending Tiger Team review.,
ammunitionLot,string,Typically refers to a single production run of ammunition and is designed with a code made up of numerical and/or alphabetical digits. Both a military and commercial ammunition term.,ammunition,usmtf:LotNumberText, usmtf : LotNumberType,A combination of letters and digits that uniquely identifies the production lot of the ammunition.,Mapped to existing NIEMOpen attribute.,
grain,integer,"A unit of weight (avoirdupois). The grain unit is commonly used in American and English ammunition practice to measure the weight of components. There are 7,000 grains in a pound and 437.5 grains in one ounce.",ammunition,AmmunitionGrainMeasure,nc: WeightMeasureType,"A measure of the weight of ammunition components. There are 7,000 grains in a pound and 437.5 grains in one ounce.",Initial refinement completed. Pending Tiger Team review.,
shotshell,object,A unit of ammunition that may contain a single projectile or multiple projectiles/pellets. Generally shotshells are designed to be fired from shotguns.,ammunition,ShotshellUnit,ShotshellType,A unit of ammunition that may contain a single projectile or multiple projectiles/pellets. Generally designed to be fired from shotguns.,Initial refinement completed. Pending Tiger Team review.,
wadCategory,string,"A felt, paper, cardboard, or plastic component used in a shotshell for various purposes.",shotshell,,,,Needs to be refined by Tiger Team.,
cartridge,object,"A single unit of ammunition consisting of the cartridge case, primer, propellant, and with or
without one or more projectile(s). ",ammunition,CartridgeUnit,CartridgeType,"A single unit of ammunition consisting of the cartridge case, primer, propellant, and with or without one or more projectile(s). ",Initial refinement completed. Pending Tiger Team review.,
