Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
caseDetails,object,Information about a case,,CaseDetails,CaseDetailsType,Information about a case.,Initial refinement completed. Pending Tiger Team review.,
caseNumber,string,A case number or case number pattern to match against,"caseDetails, supplementalMaterial",j:CaseNumberText,nc : TextType,"An identifying number for a case that this activity is a part of, where the case number belongs to the agency that owns the activity information.",Mapped to existing NIEMOpen attribute.,
incidentType,string,A single or delimited list of incident types to restrict the results to. ,caseDetails,j:IncidentGeneralCategoryText,nc : TextType,A general kind of an incident that occurred.,Mapped to existing NIEMOpen attribute.,
occurrenceTime,string,A full date and time.,caseDetails,nc:DateTime,niem-xs : dateTime,A full date and time.,Mapped to existing NIEMOpen attribute.,
labOriginator,string,A delimited list of lab case prefixes to restrict the results.,caseDetails,LabOriginator,nc : TextType,Lab case prefix(es) indicating the lab from which results originated.,Initial refinement completed. Pending Tiger Team review.,
reportSubmitter,string,A single or delimited list of submitter identifiers to restrict the returned results,caseDetails,nc:DocumentSubmitter,nc : EntityType,An entity responsible for making the resource available.,Mapped to existing NIEMOpen attribute.,
loc,object,"An object containing `lat` and `lon` coordinates, which will return documents with an incident in a specified radius",caseDetails,nc:Location ,nc : LocationType,A geospatial location.,Mapped to existing NIEMOpen attribute.,
lon,string,A value that specifies the degree of a longitude. The value comes from a restricted range between -180 (inclusive) and +180 (inclusive).,loc,nc:LongitudeDegreeValue,nc : LongitudeDegreeType,A value that specifies the degree of a longitude. The value comes from a restricted range between -180 (inclusive) and +180 (inclusive).,Mapped to existing NIEMOpen attribute.,
lat ,string,A value that specifies the degree of a latitude. The value comes from a restricted range between -90 (inclusive) and +90 (inclusive).,loc,nc:LatitudeDegreeValue,nc : LatitudeDegreeType,A value that specifies the degree of a latitude. The value comes from a restricted range between -90 (inclusive) and +90 (inclusive).,Mapped to existing NIEMOpen attribute.,
country,string,"When provided as an identifier (GUID) or string ( name ), will return only results assigned to a particular country",caseDetails,nc:Country,nc : CountryType,"A country, territory, dependency, or other such geopolitical subdivision of a location.",Mapped to existing NIEMOpen attribute.,
province,string,"When provided as an identifier (GUID) or string ( name ), will return only results assigned to a particular province",caseDetails,,,,Needs to be refined by Tiger Team.,"NIEM only has province codes for Canada and USA, will need to create a global province code category"
locality,string,"When provided as an identifier (GUID) or string ( name ), will return only results assigned to a particular locality ( i.e. a village, town, or city )",caseDetails,j:DistrictIdentification,nc : IdentificationType,An identification of a region or locality.,Mapped to existing NIEMOpen attribute.,
supplementalMaterial,array,"A report used to document additional work performed with subsequent reporting of results
",caseDetails,nc:Association,nc : AssociationType,"An association, connection, relationship, or involvement somehow linking people, things, and/or activities together.",Mapped to existing NIEMOpen attribute.,
wtiProfiles,string,"A single or delimited list of WTI profile identifiers (GUID) to restrict the results. When provided,  results returned have at least one device with the assigned profile(s)",caseDetails,WTIDeviceProfileIdentifier,nc : IdentificationType,A WTI profile identifier assigned to a device.,Initial refinement completed. Pending Tiger Team review.,
