Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
triage,object,"The procedures which ensure that all material is rendered safe before it is forensically exploited; prioritization of forensic activities on the basis of where funds and other resources can be best used, results are most needed, or where analysis is most likely to achieve success",,,,,Needs to be refined by Tiger Team.,
triageInfo,object,High-level information related to a triage report,triage,,,,Needs to be refined by Tiger Team.,
classification,string,"The determination that official information requires, in the interests of national security, a specific degree of protection against unauthorized disclosure, coupled with a designation signifying that such a determination has been made.","triageInfo, backgroundSummary, evidenceRecovered, levelOneDisposition, image, deviceInfo, historyComments, comments, wtiComments, componentInfo",mo:SecurityClassificationText,nc : TextType,An information security classification level.,Mapped to existing NIEMOpen attribute.,
caseType,string,A single or delimited list of case types to restrict the results to.,triageInfo,nc:CaseCategoryText, nc : TextType,A kind of case.,Mapped to existing NIEMOpen attribute.,
caseNumber,string,A case number or case number pattern to match against,triageInfo,j:CaseNumberText,nc : TextType,"An identifying number for a case that this activity is a part of, where the case number belongs to the agency that owns the activity information.",Mapped to existing NIEMOpen attribute.,
caseExaminer,string,A single or delimited list of Triage Examiners to restrict the results,triageInfo,CaseExaminerList,xs:string,A list of Triage Examiners for a particular case.,Initial refinement completed. Pending Tiger Team review.,
reportDTG,string,Date-time group indicating when the triage report was generated,triageInfo,usmtf:DTGDateTime,usmtf : DateTimeGroupType,"A point in time expressed as date-time group (DTG). Expressed as six digits with a time zone suffix and the standardized abbreviation for the month and a 4-digit year. The first pair of the six digits represents the day; the hour; and the minutes. The time zone suffix can be one of 35 time zones, to include 10 half-hour increment time zones based upon the local standard time, Greenwich, England (UTC).",Mapped to existing NIEMOpen attribute.,
priority,string,A single of delimited list of assigned priorities to restrict the results,triageInfo,cbrn:CasePriorityCode ,cbrncl : CasePriorityCodeType,A priority of a case.,Mapped to existing NIEMOpen attribute.,
priorityJustification,string,Reason for the assigned priority,triageInfo,,,,Needs to be refined by Tiger Team.,
backgroundSummary,object,Background information related to the evidence,triageInfo,EvidenceBackgroundSummaryAssociation,nc : associationType,"A summary of background information related to evidence, including the classification level.",Initial refinement completed. Pending Tiger Team review.,
