Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/ Refined Attribute Definition,Status,Comments
collection,object,"In intelligence usage, the acquisition of information and the provision of this information to processing elements",,IntelligenceCollectionInformation,IntelligenceCollectionInformationType,Information acquired for intelligence use.,Initial refinement completed. Pending Tiger Team review.,
classification,string,"The determination that official information requires, in the interests of national security, a specific degree of protection against unauthorized disclosure, coupled with a designation signifying that such a determination has been made.","collection, collectionResponse",mo:SecurityClassificationText,nc : TextType,An information security classification level.,Mapped to existing NIEMOpen attribute.,
reportSubmitter,string,A single or delimited list of submitter identifiers (guid) to restrict the returned results,"collection, collectionResponse",nc:DocumentSubmitter,nc : EntityType,An entity responsible for making the resource available.,Mapped to existing NIEMOpen attribute.,
submittedOn,string,A date and time the document was submitted.,"collection, collectionResponse",hs:SubmittedDateTime,nc : DateType,A date and time the document was submitted.,Mapped to existing NIEMOpen attribute.,
collectionResponse,object,A report provided in response to a request.,collection,cbrn:ResponseReport,cbrn : ResponseReportType,A report provided in response to a request.,Mapped to existing NIEMOpen attribute.,
containerType,string,An object that contains an explosive substance or agent.,collection,j:ExplosiveContainerText,nc : TextType,An object that contains an explosive substance or agent.,Mapped to existing NIEMOpen attribute.,
deviceManufacturer,string,A maker of an item.,collection,usmtf:ManufacturerText,usmtf : ManufacturerType ,A maker of an item.,Mapped to existing NIEMOpen attribute.,
deviceModel,string,A model number designation of an object.,collection,usmtf:ModelText,usmtf : ModelType ,A model number designation of an object.,Mapped to existing NIEMOpen attribute.,
uploadFileName,string,"In computer forensics, an identifier used to uniquely identify a file object that has been uploaded within a directory object in a filesystem.",collection,UploadFileName,nc : TextType,A name of an uploaded file.,Mapped to existing NIEMOpen attribute.,
fileSizeBytes,integer,"Size of the media file, represented in Bytes",collection,FileSizeBytesValue,niem-xs:nonNegativeInteger,"Size of a file, represented in bytes.",Mapped to existing NIEMOpen attribute.,
image,object,"Imitation or representation of a person or thing, drawn, painted, photographed, and so forth.",collection,nc:Image,nc : ImageType,A picture or visual representation of something.,Mapped to existing NIEMOpen attribute.,
base64,string,A text that is a binary base-64 string that represents an Image.,image,nc:Base64BinaryObject,niem-xs:base64Binary,A base64 binary encoding of data.,Mapped to existing NIEMOpen attribute.,
collectionID,string,Number that identifies a collection,collection,CollectionID,nc:IdentificationId,Number that identifies a collection.,Initial refinement completed. Pending Tiger Team review.,
navigationMode,string,Method of navigation used to remotely operate a UAV,,,,,Needs to be refined by Tiger Team.,
imageryCapabilities,,,,,,,Needs to be refined by Tiger Team.,
telemetryData,object,Information transmitted from a UAV to a GCS (ground-based control station),,,,,Needs to be refined by Tiger Team.,
videoData,string,Data pertaining to a video file,telemetryData,,,,Needs to be refined by Tiger Team.,
audioData,string,Data pertaining to an audio file,telemetryData,cbrn:AudioFile,cbrn : AudioFileType,A digital audio data file.,Mapped to existing NIEMOpen attribute.,
batteryStatus,string,Amount of battery life remaining,telemetryData,BatteryLifeStatus,xs:string,A status descibing the remaining lifespan of a battery.,Initial refinement completed. Pending Tiger Team review.,
directionOfFlight,string,A direction of movement and unit of measurement in degrees.,telemetryData,usmtf:DirectionMeasure,usmtf : directionMeasureType,A direction of movement and unit of measurement in degrees.,Mapped to existing NIEMOpen attribute.,
temperature,integer,The degree of sensible heat of a body as measured by a thermometer or similar instrument.,"telemetryData, environmentalConditions",usmtf:AirTemperatureMeasurementValue,usmtf : Integer00To99Type,A numerical component of an air temperature measurement.,Mapped to existing NIEMOpen attribute.,
launchLocation,string,Location from which the UAS was launched,telemetryData,UASLaunchLocationText,nc : TextType,A location from which a UAS was launched.,Initial refinement completed. Pending Tiger Team review.,
onBoardSensors,string,Sensors used to derive telemetry information,,mo:Sensor,mo : sensorType,A device which detects or measures a physical property.,Mapped to existing NIEMOpen attribute.,
pitch,number,The movement up and down along a vertical axis from the front to the back of the UAS.,,mo:PitchValue,nc : Degree180PlusMinusType,"An angle of rotation of a thing about its longitudinal axis, measured in degrees between the lateral axis and the horizontal plane; negative values indicate the left side is rotated downward.",Mapped to existing NIEMOpen attribute.,Existing NIEMOpen definition appears incorrect - same as definition for roll.
roll,number,"The rotation of the UAS from nose to tail as the aircraft moves forward, backward, left, or right along a horizontal axis.",,nc:RollValue,nc : Degree180PlusMinusType,"An angle of rotation of a thing about its longitudinal axis, measured in degrees between the lateral axis and the horizontal plane; negative values indicate the left side is rotated downward.",Mapped to existing NIEMOpen attribute.,
