Original Attribute Name,Original Attribute Type,Original Attribute Definition,Parent Elements,NIEM Equivalent/Refined Attribute Name,NIEM Equivalent/Refined Attribute Type,NIEM Equivalent/Refined Attribute Definition,Status,Comments
wtiReport,object,Document stating results achieved or providing evidence of activities performed during WTI exploitation,caseNumber,,,,Needs to be refined by Tiger Team.,
reportInformation,object,Information about a report,wtiReport,,,,Needs to be refined by Tiger Team.,
classification,string,"The determination that official information requires, in the interests of national security, a specific degree of protection against unauthorized disclosure, coupled with a designation signifying that such a determination has been made.","reportInformation, wtiComments, componentInfo, image, document",mo:SecurityClassificationText,nc : TextType,An information security classification level.,Mapped to existing NIEMOpen attribute.,
reportStartDate,string,A date on which something begins.,reportInformation,nc:StartDate,nc : DateType,A date on which something begins.,Mapped to existing NIEMOpen attribute.,
approvedDate,string,A date of the approval.,reportInformation,ReportApprovedDate,nc : DateType,A date on which a report was approved.,Mapped to existing NIEMOpen attribute.,
incidentType,string,A single or delimited list of incident types to restrict the results to. Items may be provided as either an identifier (GUID) or string (Label),reportInformation,j:IncidentGeneralCategoryText ,nc : TextType,A general kind of an incident that occurred.,Mapped to existing NIEMOpen attribute.,
profileEditor,string,Name of the WTI profile editor of the report,reportInformation,,,,Needs to be refined by Tiger Team.,
adminReviewer,string,Name and information related to the reviewer evaluating the report and supporting documentation for consistency with laboratory policies and editorial correctness,reportInformation,AdminReviewerDocumentAssociation,nc:PersonDocumentAssociationType,An association between a report and its reviewer.,Initial refinement completed. Pending Tiger Team review.,
lastEditBy,object,Information related to the last edit of the report,reportInformation,,,,Needs to be refined by Tiger Team.,
modifiedBy,string,"A user, who modified a data file.",lastEditBy,ReportModifiedBy,niem-xs : string,"A user, who modified a report.",Mapped to existing NIEMOpen attribute.,
lastEditTime,string,A date information was last modified.,lastEditBy,nc:LastUpdatedDate,nc : DateType,A date information was last modified.,Mapped to existing NIEMOpen attribute.,
deviceProfileSummary,array,List of devices and their profiles,wtiReport,WTIDeviceProfileAssociation,nc : AssociationType,An association between a device and a device profile.,Initial refinement completed. Pending Tiger Team review.,
wtiProfiles,string,"A single or delimited list of WTI profile identifiers (GUID) to restrict the results. When provided,  results returned have at least one device with the assigned profile(s)","deviceInfo, deviceProfileSummary",WTIDeviceProfileIdentifier,nc : IdentificationType,A WTI profile identifier (GUID) assigned to a device.,Initial refinement completed. Pending Tiger Team review.,
deviceNumber,string,identifier associated with a specific device,deviceProfileSummary,WTIDeviceIdentificationNumber,nc : IdentificationType,An identifier associated with a specific explosive device or component.,Initial refinement completed. Pending Tiger Team review.,
quantity,integer,A count of the individual units which make up an item.,"deviceProfileSummary, devices",nc:ItemQuantity,nc : QuantityType,A count of the individual units which make up an item.,Mapped to existing NIEMOpen attribute.,
devices,array,A device.,wtiReport,mo:Device,nc : DeviceType,A device.,Mapped to existing NIEMOpen attribute.,
deviceType,string,A kind of device type.,devices,biom:DeviceCategoryText,nc : TextType,A kind of device type.,Mapped to existing NIEMOpen attribute.,
deviceInfo,object,Information about the device,devices,DeviceInformation,DeviceInformationType,Information about a device.,Initial refinement completed. Pending Tiger Team review.,
description,string,A description of the information,"deviceInfo, componentInfo",nc:DescriptionText,nc : TextType,A description of the information,Mapped to existing NIEMOpen attribute.,
operationalCharacteristics,string,Description of how the device is operated,deviceInfo,,,,Needs to be refined by Tiger Team.,
comments,object,"A comment, note, or remark.",deviceInfo,nc:Comment,nc : CommentType,"A comment, note, or remark.",Mapped to existing NIEMOpen attribute.,
content,string,"A comment, note, or remark providing additional information.","comments, wtiComments",nc:CommentText,nc : TextType,"A comment, note, or remark providing additional information.",Mapped to existing NIEMOpen attribute.,
surname,string,A last name or family name of a person.,"comments, wtiComments",nc:PersonSurName,nc : PersonNameTextType,A last name or family name of a person.,Mapped to existing NIEMOpen attribute.,
givenName,string,A first name of a person.,"comments, wtiComments",nc:PersonGivenName,nc : PersonNameTextType,A first name of a person.,Mapped to existing NIEMOpen attribute.,
middleName,string,A middle name of a person.,"comments, wtiComments",nc:PersonMiddleName,nc : PersonNameTextType,A middle name of a person.,Mapped to existing NIEMOpen attribute.,
wtiComments,object,Comments associated with a device ,deviceInfo,,,,Needs to be refined by Tiger Team.,
components,array,"In logistics, a part or combination of parts having a specific function, which can be installed or replaced only as an entity.",device,DeviceComponentAssocation,AssociationType,"A part or combination of parts having a specific function, which can be installed or replaced only as an entity.",Initial refinement completed. Pending Tiger Team review.,
